执行用例编号,总用例编号,用例名称,接口/流程,前置条件,数据集,输入变量,请求/步骤,预期/断言,就绪情况
rebate-report-state-0,ISOP-2032-C13,文档枚举查询结构（不判定领取语义）,/admin/promo/betting/rebate/report,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":false}","{""path"":""/admin/promo/betting/rebate/report"",""method"":""GET"",""query"":{""state"":0,""page"":1,""page_size"":20}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.total"",""value"":""object""},{""op"":""type"",""path"":""data.total.people_num"",""value"":""integer""},{""op"":""type"",""path"":""data.total.bonus"",""value"":""string""},{""op"":""type"",""path"":""data.total.bet_amount"",""value"":""string""},{""op"":""page_limit"",""path"":""data.d"",""value"":20}]}",可执行
rebate-report-state-1,ISOP-2032-C13,文档枚举查询结构（不判定领取语义）,/admin/promo/betting/rebate/report,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":false}","{""path"":""/admin/promo/betting/rebate/report"",""method"":""GET"",""query"":{""state"":1,""page"":1,""page_size"":20}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.total"",""value"":""object""},{""op"":""type"",""path"":""data.total.people_num"",""value"":""integer""},{""op"":""type"",""path"":""data.total.bonus"",""value"":""string""},{""op"":""type"",""path"":""data.total.bet_amount"",""value"":""string""},{""op"":""page_limit"",""path"":""data.d"",""value"":20}]}",可执行
rebate-report-state-3,ISOP-2032-C13,文档枚举查询结构（不判定领取语义）,/admin/promo/betting/rebate/report,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":false}","{""path"":""/admin/promo/betting/rebate/report"",""method"":""GET"",""query"":{""state"":3,""page"":1,""page_size"":20}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.total"",""value"":""object""},{""op"":""type"",""path"":""data.total.people_num"",""value"":""integer""},{""op"":""type"",""path"":""data.total.bonus"",""value"":""string""},{""op"":""type"",""path"":""data.total.bet_amount"",""value"":""string""},{""op"":""page_limit"",""path"":""data.d"",""value"":20}]}",可执行
rebate-report-state-4,ISOP-2032-C13,文档枚举查询结构（不判定领取语义）,/admin/promo/betting/rebate/report,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":false}","{""path"":""/admin/promo/betting/rebate/report"",""method"":""GET"",""query"":{""state"":4,""page"":1,""page_size"":20}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.total"",""value"":""object""},{""op"":""type"",""path"":""data.total.people_num"",""value"":""integer""},{""op"":""type"",""path"":""data.total.bonus"",""value"":""string""},{""op"":""type"",""path"":""data.total.bet_amount"",""value"":""string""},{""op"":""page_limit"",""path"":""data.d"",""value"":20}]}",可执行
rebate-detail-fields,ISOP-2032-C12,每日返利明细契约,/admin/promo/betting/rebate/report,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":true}","{""path"":""/admin/promo/betting/rebate/report"",""method"":""GET"",""query"":{""state"":1,""page"":1,""page_size"":20}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.total"",""value"":""object""},{""op"":""type"",""path"":""data.total.people_num"",""value"":""integer""},{""op"":""type"",""path"":""data.total.bonus"",""value"":""string""},{""op"":""type"",""path"":""data.total.bet_amount"",""value"":""string""},{""op"":""row_keys"",""path"":""data.d"",""value"":[""uid"",""stats_day"",""bonus"",""bet_amount"",""multiple_amount"",""conf""]},{""op"":""row_decimal"",""path"":""data.d"",""value"":[""bonus"",""bet_amount"",""multiple_amount""]}]}",可执行
rebate-detail-sums,ISOP-2032-C12,conf明细实派与打码金额加总等于会员日行（仅内部一致性）,/admin/promo/betting/rebate/report,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":true}","{""method"":""GET"",""path"":""/admin/promo/betting/rebate/report"",""query"":{""state"":1,""page"":1,""page_size"":20}}","{""expect"":""success"",""checks"":[{""op"":""rebate_details"",""path"":""data.d""}]}",可执行
auth-missing,ISOP-2032-C13,未登录/无效token不得泄露查询结果,/admin/promo/betting/rebate/report,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""missing"",""requires_rows"":false}","{""path"":""/admin/promo/betting/rebate/report"",""method"":""GET"",""query"":{""state"":0,""page"":1,""page_size"":20}}","{""expect"":""auth_rejected"",""checks"":[]}",可执行
auth-invalid,ISOP-2032-C13,未登录/无效token不得泄露查询结果,/admin/promo/betting/rebate/report,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""invalid"",""requires_rows"":false}","{""path"":""/admin/promo/betting/rebate/report"",""method"":""GET"",""query"":{""state"":0,""page"":1,""page_size"":20}}","{""expect"":""auth_rejected"",""checks"":[]}",可执行
ISOP-2032-C01-closure,ISOP-2032-C01,基础返利与VIP无关,业务前置,需同类型不同VIP的已完成投注、有效配置及正常派发/账变样本；独立计算预期10，查询结构不能证明发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需同类型不同VIP的已完成投注、有效配置及正常派发/账变样本；独立计算预期10，查询结构不能证明发奖。
ISOP-2032-C02-closure,ISOP-2032-C02,各类型独立门槛,业务前置,Q-02门槛已明确；需门槛两侧和跨类型已完成投注、配置及派发样本；最低返利0.01已确认；计算结果不足0.01不返，0.005不派发；其他舍入顺序仍依赖Q-05。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",Q-02门槛已明确；需门槛两侧和跨类型已完成投注、配置及派发样本；最低返利0.01已确认；计算结果不足0.01不返，0.005不派发；其他舍入顺序仍依赖Q-05。
ISOP-2032-C03-closure,ISOP-2032-C03,规则封顶与0不限,业务前置,单规则/会员/日封顶及0不限已明确，不依赖Q-01展示答复；需多游戏、多会员及跨日配置/投注/派发样本。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",单规则/会员/日封顶及0不限已明确，不依赖Q-01展示答复；需多游戏、多会员及跨日配置/投注/派发样本。
ISOP-2032-C04-closure,ISOP-2032-C04,命中优先级与停用,业务前置,后台类型开关草稿已操作；指定游戏规则UI未见独立停用开关，实际派发回落仍待验证。 指定游戏优先及一注一规则已明确；需命中样本及有效配置；指定游戏停用后回落类型规则已确认，需停用样本。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",后台类型开关草稿已操作；指定游戏规则UI未见独立停用开关，实际派发回落仍待验证。 指定游戏优先及一注一规则已明确；需命中样本及有效配置；指定游戏停用后回落类型规则已确认，需停用样本。
ISOP-2032-C05-closure,ISOP-2032-C05,七类与多选规则配置,业务前置,七类型/六组读回、新增删除草稿及必填检查已实测；精确游戏保存、数值范围反例仍待补。 需Q-11最新保存方法/读回契约、Q-13活动映射及专用规则；先按后台当前配置准备样本，未知数值范围的反例暂缓；精度依赖Q-05，类型不可复选已明确。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",七类型/六组读回、新增删除草稿及必填检查已实测；精确游戏保存、数值范围反例仍待补。 需Q-11最新保存方法/读回契约、Q-13活动映射及专用规则；先按后台当前配置准备样本，未知数值范围的反例暂缓；精度依赖Q-05，类型不可复选已明确。
ISOP-2032-C06-closure,ISOP-2032-C06,配置权限隔离,业务前置,需无编辑权限账号、Q-11保存/读回契约及专用配置快照；拒绝后核对无配置变更，不要求结算或发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需无编辑权限账号、Q-11保存/读回契约及专用配置快照；拒绝后核对无配置变更，不要求结算或发奖。
ISOP-2032-C07-closure,ISOP-2032-C07,三类型分账和打码,业务前置,分类型账变/流水及打码公式已明确，不依赖Q-01展示；需三类型正常实派及流水关联样本，独立预期100/260。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",分类型账变/流水及打码公式已明确，不依赖Q-01展示；需三类型正常实派及流水关联样本，独立预期100/260。
ISOP-2032-C08-closure,ISOP-2032-C08,东八区日界与04点正常派发,业务前置,Q-03已确认东八区T+1 04:00正常派发；需前一日已完成注单、已读回有效配置、独立金额预期及批次完成/奖金流水证据。等待正常批次，不要求手工跑批入口，不测迟到或重结算。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",Q-03已确认东八区T+1 04:00正常派发；需前一日已完成注单、已读回有效配置、独立金额预期及批次完成/奖金流水证据。等待正常批次，不要求手工跑批入口，不测迟到或重结算。
ISOP-2032-C09-closure,ISOP-2032-C09,派发前配置变更正常生效,业务前置,Q-03已确认派发前配置变更生效；需配置写入/读回契约、专用规则与已完成注单、修改前后配置及正常派发证据。暂不执行重试、并发、幂等恢复。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",Q-03已确认派发前配置变更生效；需配置写入/读回契约、专用规则与已完成注单、修改前后配置及正常派发证据。暂不执行重试、并发、幂等恢复。
ISOP-2032-C10-closure,ISOP-2032-C10,自动入奖与永久存在,业务前置,自动入奖且未打完码奖金不过期已明确；需正常派发前后奖金余额/账变及未完成打码历史样本，不要求手动领取。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",自动入奖且未打完码奖金不过期已明确；需正常派发前后奖金余额/账变及未完成打码历史样本，不要求手动领取。
ISOP-2032-C11-closure,ISOP-2032-C11,后台文案与登录通知,业务前置,Q-04/Q-07规则已确认；缺本轮真实返利通知接口、登录/投注/派发关联样本及可执行闭环。无未读状态，不以Mock代替真实登录弹窗验证。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",Q-04/Q-07规则已确认；缺本轮真实返利通知接口、登录/投注/派发关联样本及可执行闭环。无未读状态，不以Mock代替真实登录弹窗验证。
ISOP-2032-C12-closure,ISOP-2032-C12,会员日行与Drawer,业务前置,后台已发现有效投注净额展示、会员日行和整行入口失败，见2026-09-16补充报告。 需同会员跨日多类型、多配置及达上限样本；Drawer由人工UI验收，Q-01已确认按返利优先级展示、指定游戏率高于类型率；Q-05仅conf精度汇总待确认；查询内部一致性不证明实派正确。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",后台已发现有效投注净额展示、会员日行和整行入口失败，见2026-09-16补充报告。 需同会员跨日多类型、多配置及达上限样本；Drawer由人工UI验收，Q-01已确认按返利优先级展示、指定游戏率高于类型率；Q-05仅conf精度汇总待确认；查询内部一致性不证明实派正确。
ISOP-2032-C13-closure,ISOP-2032-C13,筛选统计与Xlsx导出,业务前置,UID与跨页统计已实测通过；游戏类型筛选缺失，导出未取得文件。 Q-06筛选范围已确认，Q-08格式按Xlsx；缺会员多类型跨页已知样本、筛选参数映射、异步文件获取契约和真实文件核对。查询结构不证明筛选金额正确，不以配置写入/手工跑批作为此查询场景的统一前置。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",UID与跨页统计已实测通过；游戏类型筛选缺失，导出未取得文件。 Q-06筛选范围已确认，Q-08格式按Xlsx；缺会员多类型跨页已知样本、筛选参数映射、异步文件获取契约和真实文件核对。查询结构不证明筛选金额正确，不以配置写入/手工跑批作为此查询场景的统一前置。
ISOP-2032-C14-closure,ISOP-2032-C14,防返利循环,业务前置,需纯本金/纯奖金/混合投注的可追溯资金来源、平台有效投注口径及下一期派发样本；不另造排除规则。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需纯本金/纯奖金/混合投注的可追溯资金来源、平台有效投注口径及下一期派发样本；不另造排除规则。
ISOP-2032-C15-closure,ISOP-2032-C15,打码解锁与范围,业务前置,需打码进度两侧及范围内外的受控样本、流水/提款资格查询契约；授权执行前不能直接改库造进度。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需打码进度两侧及范围内外的受控样本、流水/提款资格查询契约；授权执行前不能直接改库造进度。
ISOP-2032-C16-closure,ISOP-2032-C16,活动入口与基础配置,业务前置,FAT活动40和真实页面已核，列表类型其他与编辑页返水类不一致，UI子项FAIL。 API保存/读回契约独立核对，不要求结算或发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",FAT活动40和真实页面已核，列表类型其他与编辑页返水类不一致，UI子项FAIL。 API保存/读回契约独立核对，不要求结算或发奖。
ISOP-2032-C17-closure,ISOP-2032-C17,三步精灵状态与持久化,业务前置,UI草稿取消和文案保存/重开/恢复已验证；不能将API占位整条判通过。 需Q-11配置保存/读回契约、Q-13活动映射、专用活动与原配置；三步草稿/取消/保存由API及人工UI核对，不用mock结果。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",UI草稿取消和文案保存/重开/恢复已验证；不能将API占位整条判通过。 需Q-11配置保存/读回契约、Q-13活动映射、专用活动与原配置；三步草稿/取消/保存由API及人工UI核对，不用mock结果。
