用例编号,类型,模块/接口,用例名称,前置条件,参数/步骤,预期结果,级别,验收点
ISOP-2027-C01,FLOW,ISOP-2027,五种KYC状态编辑,5种状态各一条专用测试记录，有编辑权限,逐条修改字段后提交待复核,每种状态可提交，显示待复核标记；原KYC状态和正式资料暂不变,高,AC-01
ISOP-2027-C02,FLOW,ISOP-2027,同笔并发编辑,同一记录无待复核，两编辑会话,并发提交不同编辑，随后再打开编辑,最多一个待复核申请；后续提示“此筆已有待複核的編輯，請先完成複核”，无覆盖,高,AC-01
ISOP-2027-C03,FLOW,ISOP-2027,三图预览替换还原,3张合成合法测试图片,逐位预览/替换/还原，字段和图一起提交,原图可预览；已更换标识正确；还原恢复原图；一次提交生成一个包含全部变更的申请,中,AC-02
ISOP-2027-C04,FLOW,ISOP-2027,上传边界及伪装,上限-1/上限/上限+1字节的有效图片、非图片改后缀、损坏图；依赖：Q-03,每个证件位上传并尝试直接API提交,≤上限有效图片允许，超限/非图片拒绝且不污染原图；格式细节按契约,高,AC-02
ISOP-2027-C05,FLOW,ISOP-2027,无变更与只读字段,打开编辑后不改或修改再还原,提交；另用API篡改手机号/留言/KYC状态,无变更提示明确，不新建申请；只读字段不能通过API绕过修改,中,AC-02
ISOP-2027-C06,API,ISOP-2027,核准整体生效,A提交字段+图片+门店分行变更，B有复核权限；依赖：Q-02,核准并读取正式会员资料、图片及两处门店分行,全部新值同时生效，不残留旧分行；无部分写入；KYC状态维持原状态,高,AC-03
ISOP-2027-C07,API,ISOP-2027,驳回整笔舍弃,一笔同时改字段与图片的待复核申请,另一人填原因驳回,字段/图片均保持原值，无局部套用；结果和原因可追溯，可再次发起新编辑,高,AC-03
ISOP-2027-C08,FLOW,ISOP-2027,驳回原因校验,待复核申请；依赖：Q-03,用空值、纯空白、合法原因、超长原因提交,无有效原因不得驳回；合法原因记录完整，超长按契约处理，错误请求不改变状态,中,AC-03
ISOP-2027-C09,FLOW,ISOP-2027,不可自审及身份伪造,A提交，登录A；另有B身份值；依赖：Q-02,检查按钮/hover，直接调用核准/驳回并伪造操作者参数,按钮禁用且提示不可复核自己提交的编辑；后端以登录A拒绝，不能冒充B,高,AC-04
ISOP-2027-C10,FLOW,ISOP-2027,角色权限,无编辑/无复核/仅查看角色分别准备；依赖：Q-02,访问页面、直接调编辑/核准/驳回接口,按矩阵拒绝越权，不因所有KYC状态可编辑就开放所有角色,高,AC-04
ISOP-2027-C11,FLOW,ISOP-2027,已处理只读与重复操作,已核准/已驳回各一笔；依赖：Q-02,打开详情，直接重放或反向提交处理请求,页面仅详情无操作框；后端不再次改资料/改结果或重复追加处理事件,高,AC-04
ISOP-2027-C12,FLOW,ISOP-2027,双页签筛选字段,多个脱敏测试会员，提交者/时间/复核结果不同,逐个及组合所有筛选，查看两页签计数/分页,结果符合条件；已处理增加状态筛选；列顺序和计数口径一致，无漏项,中,AC-05
ISOP-2027-C13,UI,ISOP-2027,diff与抽屉信息,文字与三图混合变更申请,查看列表diff、复核抽屉及已复核详情,文字原值删除线→新值，图片原→新；UID/手机/提交者/时间/结果/复核人/时间/原因正确；已处理只读,中,AC-05
ISOP-2027-C14,API,ISOP-2027,审计不可变,完成编辑后核准/驳回；另有用户补件及后台审核记录,只读比对事件前后审计行,编辑行仍待复核，仅新增结果行；仅编辑行展开；两类状态操作显示 -；编辑/复核不改KYC状态,高,AC-06
ISOP-2027-C15,FLOW,ISOP-2027,待审核期间禁止提交新KYC,会员已有待审核记录；覆盖后台编辑已提交、尚待第二人复核的场景；保留正式资料与待复核申请快照；依赖：Q-01已确认；状态枚举及拒绝码按提测契约核对,从客户端尝试新提交/补件；直接调用提交接口及重放预先打开表单的旧请求；读取前后记录,客户端不能完成提交，后端拒绝绕过；不生成新KYC申请、不覆盖正式字段/证件或待复核内容，不改变原审核/复核状态；审核结束后的提交资格仍按既有KYC状态规则处理,高,AC-04
ISOP-2027-C16,API,ISOP-2027,同时复核与原子失败,B/C同时处理一申请；另有开发注入同步写入失败；依赖：Q-02,并发核准/驳回，再核对失败恢复,只有一个最终决定；失败无半套用，正式字段/三图/分行一致，审计不能虚报成功,高,AC-03
ISOP-2027-C17,FLOW,ISOP-2027,敏感图访问隔离,无证件查看权限账号及授权账号；依赖：Q-02,使用他人记录标识/已知图片链接尝试读取,按权限不可读取未授权证件；报告只保留合成图片与脱敏标识,高,AC-05
ISOP-2027-C18,FLOW,ISOP-2027,临近分行变更联动游戏类型限制,会员当前临近分行、目标临近分行各有不同的游戏类型允许/限制配置；保存正式资料、fb.members.kyc及当前限制快照；A有编辑权限、B有复核权限；依赖：Q-02,A编辑临近分行并提交；提交后先核对正式分行及游戏类型限制未提前变化；B核准后读取正式分行、fb.members、fb.members.kyc及游戏类型限制；另以同样数据驳回一笔变更作对照,待复核期间不改变正式分行或游戏类型限制；核准后新分行在所有约定存储中的值一致，游戏类型限制按新分行生效、旧分行限制不残留，非相关游戏类型及其他会员不受影响；驳回后分行和全部游戏类型限制保持原值；不得出现部分写入或重复限制,高,AC-03
