执行用例编号,总用例编号,用例名称,接口/流程,前置条件,数据集,输入变量,请求/步骤,预期/断言,就绪情况
jp-venue-structure,ISOP-2043-C03,厂商线路报表：响应与列表结构,厂商线路报表,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-venue"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999}}}","厂商线路报表：响应与列表结构
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""",可执行
jp-venue-jp,ISOP-2043-C03,厂商线路报表：新增JP中奖字段与金额格式,厂商线路报表,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-venue"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999},""amount_fields"":[""jp_winning""]}}","厂商线路报表：新增JP中奖字段与金额格式
query: http eq 200
query: body.status eq true
query: body.data.d rows_have_keys [""jp_winning""]
query: checks.amounts_valid eq true",可执行
jp-venue-missing,ISOP-2043-C03,厂商线路报表：鉴权拒绝,厂商线路报表,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-venue"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999},""auth"":""missing""}}","厂商线路报表：鉴权拒绝
query: checks.auth_denied eq true",可执行
jp-venue-invalid,ISOP-2043-C03,厂商线路报表：鉴权拒绝,厂商线路报表,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-venue"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999},""auth"":""invalid""}}","厂商线路报表：鉴权拒绝
query: checks.auth_denied eq true",可执行
jp-game-structure,ISOP-2043-C03,游戏线路报表：响应与列表结构,游戏线路报表,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-game"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999}}}","游戏线路报表：响应与列表结构
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""",可执行
jp-game-jp,ISOP-2043-C03,游戏线路报表：新增JP中奖字段与金额格式,游戏线路报表,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-game"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999},""amount_fields"":[""jp_winning""]}}","游戏线路报表：新增JP中奖字段与金额格式
query: http eq 200
query: body.status eq true
query: body.data.d rows_have_keys [""jp_winning""]
query: checks.amounts_valid eq true",可执行
jp-game-missing,ISOP-2043-C03,游戏线路报表：鉴权拒绝,游戏线路报表,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-game"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999},""auth"":""missing""}}","游戏线路报表：鉴权拒绝
query: checks.auth_denied eq true",可执行
jp-game-invalid,ISOP-2043-C03,游戏线路报表：鉴权拒绝,游戏线路报表,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-game"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999},""auth"":""invalid""}}","游戏线路报表：鉴权拒绝
query: checks.auth_denied eq true",可执行
jp-class-structure,ISOP-2043-C03,游戏类型线路报表：响应与列表结构,游戏类型线路报表,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-class"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999}}}","游戏类型线路报表：响应与列表结构
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""",可执行
jp-class-jp,ISOP-2043-C03,游戏类型线路报表：新增JP中奖字段与金额格式,游戏类型线路报表,FAT；本轮独立登录；只验证本组合，不代表整项验收完成,固定组合,{},"query [A] readonly_query {""params"":{""route"":""jp-class"",""query"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789055999999},""amount_fields"":[""jp_winning""]}}","游戏类型线路报表：新增JP中奖字段与金额格式
query: http eq 200
query: body.status eq true
query: body.data.d rows_have_keys [""jp_winning""]
query: checks.amounts_valid eq true",可执行
