执行用例编号,总用例编号,用例名称,接口/流程,前置条件,数据集,输入变量,请求/步骤,预期/断言,就绪情况
rebate-report-state-0,ISOP-2032-C13,文档枚举查询结构（不判定领取语义）,/admin/promo/betting/rebate/report,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":false}","{""path"":""/admin/promo/betting/rebate/report"",""method"":""GET"",""query"":{""state"":0,""page"":1,""page_size"":20}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.total"",""value"":""object""},{""op"":""type"",""path"":""data.total.people_num"",""value"":""integer""},{""op"":""type"",""path"":""data.total.bonus"",""value"":""string""},{""op"":""type"",""path"":""data.total.bet_amount"",""value"":""string""},{""op"":""page_limit"",""path"":""data.d"",""value"":20}]}",可执行
rebate-report-state-1,ISOP-2032-C13,文档枚举查询结构（不判定领取语义）,/admin/promo/betting/rebate/report,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":false}","{""path"":""/admin/promo/betting/rebate/report"",""method"":""GET"",""query"":{""state"":1,""page"":1,""page_size"":20}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.total"",""value"":""object""},{""op"":""type"",""path"":""data.total.people_num"",""value"":""integer""},{""op"":""type"",""path"":""data.total.bonus"",""value"":""string""},{""op"":""type"",""path"":""data.total.bet_amount"",""value"":""string""},{""op"":""page_limit"",""path"":""data.d"",""value"":20}]}",可执行
rebate-report-state-3,ISOP-2032-C13,文档枚举查询结构（不判定领取语义）,/admin/promo/betting/rebate/report,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":false}","{""path"":""/admin/promo/betting/rebate/report"",""method"":""GET"",""query"":{""state"":3,""page"":1,""page_size"":20}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.total"",""value"":""object""},{""op"":""type"",""path"":""data.total.people_num"",""value"":""integer""},{""op"":""type"",""path"":""data.total.bonus"",""value"":""string""},{""op"":""type"",""path"":""data.total.bet_amount"",""value"":""string""},{""op"":""page_limit"",""path"":""data.d"",""value"":20}]}",可执行
rebate-report-state-4,ISOP-2032-C13,文档枚举查询结构（不判定领取语义）,/admin/promo/betting/rebate/report,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":false}","{""path"":""/admin/promo/betting/rebate/report"",""method"":""GET"",""query"":{""state"":4,""page"":1,""page_size"":20}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.total"",""value"":""object""},{""op"":""type"",""path"":""data.total.people_num"",""value"":""integer""},{""op"":""type"",""path"":""data.total.bonus"",""value"":""string""},{""op"":""type"",""path"":""data.total.bet_amount"",""value"":""string""},{""op"":""page_limit"",""path"":""data.d"",""value"":20}]}",可执行
rebate-detail-fields,ISOP-2032-C12,每日返利明细契约,/admin/promo/betting/rebate/report,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":true}","{""path"":""/admin/promo/betting/rebate/report"",""method"":""GET"",""query"":{""state"":1,""page"":1,""page_size"":20}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.total"",""value"":""object""},{""op"":""type"",""path"":""data.total.people_num"",""value"":""integer""},{""op"":""type"",""path"":""data.total.bonus"",""value"":""string""},{""op"":""type"",""path"":""data.total.bet_amount"",""value"":""string""},{""op"":""row_keys"",""path"":""data.d"",""value"":[""uid"",""stats_day"",""bonus"",""bet_amount"",""multiple_amount"",""conf""]},{""op"":""row_decimal"",""path"":""data.d"",""value"":[""bonus"",""bet_amount"",""multiple_amount""]}]}",可执行
rebate-detail-sums,ISOP-2032-C12,conf明细实派与打码金额加总等于会员日行（仅内部一致性）,/admin/promo/betting/rebate/report,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":true}","{""method"":""GET"",""path"":""/admin/promo/betting/rebate/report"",""query"":{""state"":1,""page"":1,""page_size"":20}}","{""expect"":""success"",""checks"":[{""op"":""rebate_details"",""path"":""data.d""}]}",可执行
auth-missing,ISOP-2032-C13,未登录/无效token不得泄露查询结果,/admin/promo/betting/rebate/report,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""missing"",""requires_rows"":false}","{""path"":""/admin/promo/betting/rebate/report"",""method"":""GET"",""query"":{""state"":0,""page"":1,""page_size"":20}}","{""expect"":""auth_rejected"",""checks"":[]}",可执行
auth-invalid,ISOP-2032-C13,未登录/无效token不得泄露查询结果,/admin/promo/betting/rebate/report,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""invalid"",""requires_rows"":false}","{""path"":""/admin/promo/betting/rebate/report"",""method"":""GET"",""query"":{""state"":0,""page"":1,""page_size"":20}}","{""expect"":""auth_rejected"",""checks"":[]}",可执行
ISOP-2032-C01-closure,ISOP-2032-C01,基础返利与VIP无关,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C02-closure,ISOP-2032-C02,各类型独立门槛,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C03-closure,ISOP-2032-C03,规则封顶与0不限,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C04-closure,ISOP-2032-C04,命中优先级与停用,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C05-closure,ISOP-2032-C05,七类与多选规则配置,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C06-closure,ISOP-2032-C06,配置权限隔离,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C07-closure,ISOP-2032-C07,三类型分账和打码,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C08-closure,ISOP-2032-C08,日界与04点批次,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C09-closure,ISOP-2032-C09,批次幂等与恢复,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C10-closure,ISOP-2032-C10,自动入奖与永久存在,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C11-closure,ISOP-2032-C11,后台文案与通知,业务前置,Q-04/Q-07/Q-09：正式MQTT/pending未冻结，title/copy仅前端适配；禁止把localhost Mock、去重当后端业务聚合。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",Q-04/Q-07/Q-09：正式MQTT/pending未冻结，title/copy仅前端适配；禁止把localhost Mock、去重当后端业务聚合。
ISOP-2032-C12-closure,ISOP-2032-C12,会员日行与Drawer,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C13-closure,ISOP-2032-C13,筛选统计与Xlsx导出,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C14-closure,ISOP-2032-C14,防返利循环,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C15-closure,ISOP-2032-C15,打码解锁与范围,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C16-closure,ISOP-2032-C16,活动入口与基础配置,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C17-closure,ISOP-2032-C17,三步精灵状态与持久化,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C18-closure,ISOP-2032-C18,指定规则多游戏累计门槛,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
ISOP-2032-C19-closure,ISOP-2032-C19,聚合通知不合并账变,业务前置,Q-04/Q-07/Q-09：正式MQTT/pending未冻结，title/copy仅前端适配；禁止把localhost Mock、去重当后端业务聚合。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",Q-04/Q-07/Q-09：正式MQTT/pending未冻结，title/copy仅前端适配；禁止把localhost Mock、去重当后端业务聚合。
ISOP-2032-C20-closure,ISOP-2032-C20,活动状态名单和有效期,业务前置,需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。,固定组合,"{""auth"":""valid"",""requires_rows"":false}",待补执行资产,"{""expect"":null,""checks"":[]}",需ID32/40映射、配置方法/读回、规则精度、结算测试入口、专用投注与派发账变样本；报表查询不证明计算/发奖。
