用例编号,类型,模块/接口,用例名称,前置条件,参数/步骤,预期结果,级别,验收点
R01,API,ISOP-2022,非体育同日,各非体育分类映射明确的场馆样本；依赖：见原场景及方式说明,按结算区间查询11页中适用页面,已结算样本按规则计一次，金额精确一致,未标注,AC-01/04/05
R02,FLOW,ISOP-2022,跨日结算,投注S之前但在S-1日内、结算在区间内；依赖：见原场景及方式说明,分别按投注/结算查询,结算模式纳入；投注模式按投注时刻归属,未标注,AC-01/03/04/05
R03,API,ISOP-2022,防止扩窗污染,投注在扩窗内、结算在S之前或E之后；依赖：见原场景及方式说明,查询原区间,不得因投注命中扩窗而被统计,未标注,AC-01/04/05
R04,API,ISOP-2022,结算毫秒端点,结算S-1ms、S、E-1ms、E、E+1ms；非体育样本投注均满足扩窗，体育用独立表；依赖：见原场景及方式说明,分别查询该日及相邻日，核对毫秒参数和记录集合,S与E均纳入，S-1ms与E+1ms排除；E-1ms纳入，不漏最后999毫秒；相邻日无漏重,未标注,AC-01/03/04/05/06/07
R05,API,ISOP-2022,投注扩窗端点,投注扩窗起点/终点及各±1ms的可合法样本；依赖：见原场景及方式说明,固定结算区间查询,投注范围按两侧各1个自然日扩展，结算范围保持原值；两侧边界含端点，界外1ms排除，毫秒值不截断；不可能的时间组合只作隔离契约夹具,未标注,AC-01/04/05
R06,API,ISOP-2022,非体育窗口外延迟观测,投注D-2、结算D的合法样本及独立基准；依赖：见原场景及方式说明,查询D并比较候选集合与全量基准,未命中扩窗的差额标为本阶段已知限制，记录遗漏笔数/投注额/有效投注/派彩/GGR差额及样本范围；不要求本版扩大窗口或补单兜底，不计为全量正确通过,未标注,AC-01/04/05
R07,API,ISOP-2022,体育跨多日/月,投注早于S数日、结算区间内；依赖：见原场景及方式说明,体育分类、仪表盘、统计页查询,不受投注1日窗口限制，只计一次,未标注,AC-02/05/06/07
R08,API,ISOP-2022,总额合并,体育与非体育已知金额；依赖：见原场景及方式说明,查仪表盘分类与总额,总GGR/有效投注为两个集合之和，体育未重复累加,未标注,AC-02
R09,FLOW,ISOP-2022,会员体育明细分支,同一会员非体育及跨多日体育样本，原表/体育表来源可核对；依赖：见原场景及方式说明,结算查询不选游戏类型→选体育→选非体育,默认明细/小计/合计排除体育；体育分支按结算时间从独立表返回体育、不受投注1日窗限制；切回非体育恢复原表条件，无体育混入或汇总残留；§2提示是否新增另核对UI约定,未标注,AC-03
R10,FLOW,ISOP-2022,财务平台排除体育,平台与体育均有结果；依赖：见原场景及方式说明,平台页结算查询，再切体育,平台列表/小计/合计均不含体育且提示；体育分类只含目标体育,未标注,AC-06
R11,FLOW,ISOP-2022,游戏页默认分类,混合类型样本；依赖：见原场景及方式说明,结算、不选游戏类型，再选体育；保留独立注单类型条件,默认结果与汇总排除体育；体育分类可查长周期；不得把体育传入注单类型条件,未标注,AC-07
R12,UI,ISOP-2022,提示状态流转,页面可访问；依赖：见原场景及方式说明,投注→结算→体育→非体育→重置,提示仅在正文规定组合出现，不残留“异动时间”等错误文案；重置默认待确认,未标注,AC-06/07
R13,FLOW,ISOP-2022,2线合并与历史兼容,历史node=0、node=1/2样本且金额不同，均满足相同时间等条件；依赖：见原场景及方式说明,两页面选2线,精确包含0和2，不含1；历史0不漏不重；明细、小计、合计同条件；不改写历史node,未标注,AC-08
R14,FLOW,ISOP-2022,1线隔离及切换,node=0/1/2样本；依赖：见原场景及方式说明,两页面选1线，再切2线并返回1线,1线只含1、不含0/2；切换后列表及汇总按新条件更新，无上次线路残留；默认选项及非法参数子场景待契约核对，不阻塞已确认映射,未标注,AC-08
R15,UI,ISOP-2022,时区控件,初次进入与已修改状态；依赖：见原场景及方式说明,枚举、切换、重置,默认+8、范围-12至+12、步长1小时，无半小时选项；重置按实际UI约定,未标注,AC-08
R16,FLOW,ISOP-2022,时区跨日/月,UTC边界两侧及10分钟窗口边界样本；依赖：见原场景及方式说明,'+8/0/-12/+12手动选择对应时间；包括10分钟及合法月范围,本地时间减所选UTC偏移得到毫秒时间戳；同一绝对区间集合一致，短区间不变全天，结算范围不扩窗,未标注,AC-01/05/08
R17,FLOW,ISOP-2022,31天边界,可查询历史范围；依赖：见原场景及方式说明,1日、31日、32日、反向/空日期,前端允许合法31天、拒绝32天；内部扫描扩窗不能将合法31天误判超限；API超限输入处理单独核对契约,未标注,AC-09
R18,FLOW,ISOP-2022,分页小计合计,超过两页、各页金额不同；依赖：见原场景及方式说明,翻页、改页大小、排序,小计精确等于当前页记录聚合；全量合计不随分页变化，且都含完整筛选，不能将当前页小计当总额,未标注,AC-09
R19,FLOW,ISOP-2022,空结果/查询失败,无数据窗口、可控失败；依赖：见原场景及方式说明,空查询及失败恢复,空值展示按约定；不得残留旧汇总或把查询失败显示成0且声称成功,未标注,AC-09
R20,API,ISOP-2022,会员内外对账,同一会员/日/类别/线路；依赖：见原场景及方式说明,详情日统计/游戏统计对报表详情,相同状态、时区、刷新版本下同义指标一致；总投注与有效投注不混比,未标注,AC-04/05
R21,API,ISOP-2022,三维报表对账,跨游戏/平台多样本，会员有重叠；依赖：见原场景及方式说明,游戏→类型→平台聚合,可加金额相等；人数按UID重新去重，不能简单相加；系数重算非相加,未标注,AC-05
R22,API,ISOP-2022,邀请/层级,已移出本需求测试范围；不适用；依赖：见原场景及方式说明,不执行,用户确认邀请好友功能已取消，本需求不覆盖邀请统计；原编号保留追溯,未标注,AC-04/05
R23,API,ISOP-2022,FS/JP/彩金及非投注指标,各指标非零、存提时间与结算日不同；依赖：见原场景及方式说明,查日与游戏统计,总投注含有效/无效、有效取validbet；FS/JP按注单类型分组，活动彩金核对独立活动彩金表，不按注单关联；免费旋转彩金走注单类型；按用户公式派彩=settleamount+投注核对同口径样本；GGR字段映射另实查；存提款不被误改为投注结算时间,未标注,AC-04/05
R24,API,ISOP-2022,部分结算及其他状态,部分结算、完全结算、取消/退款等样本及空结算时间；依赖：见原场景及方式说明,结算/投注模式交叉查询,部分结算不计入结算统计，完成后按对应时间纳入一次；取消/作废/退款全部排除，无空时间落到1970日统计,未标注,AC-02/04/05
R25,API,ISOP-2022,重复与重新结算,体育新旧表重复、重复事件、跨日修订样本；依赖：见原场景及方式说明,比较各阶段快照,以最新注单数据和最新结算时间重算；跨日修订后旧日期撤销旧贡献、新日期计入新值，不同时累加新旧版本；同日金额修订不叠加,未标注,AC-02/05
R26,API,ISOP-2022,视图刷新,知道结算到达与刷新时间；依赖：见原场景及方式说明,有界轮询明细及报表,在确认SLA内一致；超时记失败/环境阻塞，不无限重试制造通过,未标注,AC-05
R27,API,ISOP-2022,RisingWave整体重跑,历史跨日、部分/重结算、体育长周期及node=0样本；重跑完成证据；依赖：见原场景及方式说明,在一致数据版本下按确认条件独立聚合源表，对比重跑后的总报表,已确认范围内笔数/金额/UID人数及分类聚合一致；核对历史与新数据，Q-02窗口外偏差单列，不重复计入,未标注,AC-05
R28,API,ISOP-2022,导出/详情/重算一致,非空跨日数据集；依赖：见原场景及方式说明,查询、详情、导出；重算另阶段,同筛选/时区/线路/版本数据一致；重算幂等仅在明确隔离范围后验证,未标注,AC-05/09
R29,FLOW,ISOP-2022,权限拒绝,只读、受限、失效会话；依赖：见原场景及方式说明,UI入口及对应API查询,授权可读、越权明确拒绝且不泄露明细/汇总；管理员不能替代受限角色,未标注,AC-03/05/06/07
R30,FLOW,ISOP-2022,组合过滤/响应稳定性,多会员/状态/类别样本；依赖：见原场景及方式说明,时间+线路+类别+会员组合；31天分页,参数不丢失、返回完整可解码，符合SLA；无业务写入,未标注,AC-01—09
R31,FLOW,ISOP-2022,体育表切换条件矩阵,同一会员体育早球跨月与非体育已知样本，可核对主表/体育表来源；依赖：切表业务规则已确认；接口契约及来源证据待核对,分别执行投注时间+体育、结算时间+体育、结算时间+非体育、结算时间+未选类型，核对记录归属与来源证据,仅结算时间+体育走独立体育表且不受1天投注窗限制；投注时间+体育按主表投注时间查询；结算非体育/未选类型按既定原表分支排除体育；不以相同响应推断来源已验证,未标注,AC-03/06/07
