用例编号,类型,模块/接口,用例名称,前置条件,参数/步骤,预期结果,级别,验收点
ISOP-2037-C01,UI,ISOP-2037,四列顺序,已部署新列表,查看表头及一笔JP注单,四列在 GGR 与结算时间之间，顺序与 AC-01 完全一致,中,AC-01
ISOP-2037-C02,FLOW,ISOP-2037,直接贡献金额及精度,贡献0.0001、0.1234，投注100；派彩12.30；依赖：Q-03,查询列表并比对已有贡献字段,显示0.0001/0.1234，不再乘贡献率；派彩12.30；超精度按确认规则,高,AC-01
ISOP-2037-C03,FLOW,ISOP-2037,厂商和未中奖空值,op/mi未中奖但有贡献；其他厂商记录,逐类查看四栏,op/mi只显示贡献，其他三栏 -；其他厂商四栏 -，不得统一替换为0.00,中,AC-02
ISOP-2037-C04,API,ISOP-2037,普通 GGR 不含 JP,投注100、一般派彩60、JP500,查询该注 GGR 与 JP,GGR=40、JP Payout=500；不能得-460，也不能套用税报贡献公式,高,AC-03
ISOP-2037-C05,FLOW,ISOP-2037,四种单奖池,分别 Mini/Minor/Major/Grand，有可核对的实际底金；依赖：Q-02、Q-03,逐种查询列表,类型与来源一致，Seed Money 为相应底金，不串厂商/池等级,中,AC-02
ISOP-2037-C06,FLOW,ISOP-2037,Multi 总额和弹窗,Grand218481.25、Mini134.26及两项底金；依赖：Q-02、Q-03,点 Multi 查看列表和弹窗,列表218615.51、Seed Money为 -；弹窗2笔、正确Transaction ID及各金额/底金,高,AC-04
ISOP-2037-C07,UI,ISOP-2037,关闭及切换记录,两笔不同 Multi 注单；依赖：Q-02,分别用右上关闭/底部关闭；再开另一笔,两种关闭均有效，不列内展开；后开弹窗不残留前一单内容,中,AC-04
ISOP-2037-C08,FLOW,ISOP-2037,明细访问隔离,两权限范围账号及有效/无权限订单ID；依赖：Q-02,调用明细接口替换Transaction ID,只返回授权订单明细；无权限不泄露金额或玩家资料，加载失败不显示旧数据,高,AC-04
ISOP-2037-C09,FLOW,ISOP-2037,类型与其他筛选组合,四种单奖池、Multi与无JP，跨日期/厂商；依赖：Q-01,逐一筛选五种类型，组合既有条件再清空,选项完整，结果符合确认后的类型语义；其他筛选同时生效,中,AC-05
ISOP-2037-C10,API,ISOP-2037,24栏 CSV,含单JP、Multi、无JP、其他厂商且跨页的数据；依赖：Q-03,按相同筛选导出并对照全部结果,恰好24栏，文字/顺序与列表一致；金额格式按规则，无额外明细列，Multi底金空示一致,中,AC-06
ISOP-2037-C11,API,ISOP-2037,拆分后历史与实时,2041已拆分实时/历史样本；依赖：2041交付,核对本页与源字段，并执行2028联动样本,一般派彩和JP各取正确来源；本页GGR仍为一般游戏口径，不误用税报GGR,高,AC-03
