执行用例编号,总用例编号,用例名称,接口/流程,前置条件,数据集,输入变量,请求/步骤,预期/断言,就绪情况
bet-bet-all,R30,投注时间查询全部类型,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999}}}","投注时间查询全部类型；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.bet_time_range eq true",可执行
bet-settle-default,R10,结算查询默认排除体育,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""settle_start_time"":1788796800000,""settle_end_time"":1789142399999},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""settle_start_time"":1788796800000,""settle_end_time"":1789142399999}}}","结算查询默认排除体育；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.settle_time_range eq true
verify: checks.exclude_sports eq true",可执行
bet-node-1,R14,投注查询1线隔离,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""node"":1},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""node"":1}}}","投注查询1线隔离；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.bet_time_range eq true
verify: checks.node_filter eq true",可执行
bet-node-2,R13,投注查询2线集合,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""node"":2},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""node"":2}}}","投注查询2线集合；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.bet_time_range eq true
verify: checks.node_filter eq true",可执行
bet-settle-node-1,R14,结算查询1线隔离,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""settle_start_time"":1788796800000,""settle_end_time"":1789142399999,""node"":1},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""settle_start_time"":1788796800000,""settle_end_time"":1789142399999,""node"":1}}}","结算查询1线隔离；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.settle_time_range eq true
verify: checks.node_filter eq true
verify: checks.exclude_sports eq true",可执行
bet-settle-node-2,R13,结算查询2线集合,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""settle_start_time"":1788796800000,""settle_end_time"":1789142399999,""node"":2},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""settle_start_time"":1788796800000,""settle_end_time"":1789142399999,""node"":2}}}","结算查询2线集合；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.settle_time_range eq true
verify: checks.node_filter eq true
verify: checks.exclude_sports eq true",可执行
bet-bet-sport-game_type,R31,投注时间+体育game_type,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""game_type"":4},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""game_type"":4}}}","投注时间+体育game_type；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.bet_time_range eq true
verify: checks.sports_only eq true",可执行
bet-bet-sport-pagcor_game_type,R31,投注时间+体育PAGCOR分类,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""pagcor_game_type"":""sports_betting""},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""start_time"":1788796800000,""end_time"":1789142399999,""pagcor_game_type"":""sports_betting""}}}","投注时间+体育PAGCOR分类；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.bet_time_range eq true
verify: checks.sports_only eq true",可执行
bet-settle-sport-game_type,R31,结算时间+体育game_type,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""settle_start_time"":1788796800000,""settle_end_time"":1789142399999,""game_type"":4},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""settle_start_time"":1788796800000,""settle_end_time"":1789142399999,""game_type"":4}}}","结算时间+体育game_type；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.settle_time_range eq true
verify: checks.sports_only eq true",可执行
bet-settle-sport-pagcor_game_type,R31,结算时间+体育PAGCOR分类,ISOP-2085 两处注单查询,FAT；本轮fresh登录；仅验证本组合，父级用例不自动通过,固定组合,{},"query [A] POST /admin/record/bet {""body"":{""page"":1,""page_size"":20,""settle_start_time"":1788796800000,""settle_end_time"":1789142399999,""pagcor_game_type"":""sports_betting""},""auth"":""valid""}
verify [A] bet_record_check {""params"":{""data"":""${data}"",""request"":{""page"":1,""page_size"":20,""settle_start_time"":1788796800000,""settle_end_time"":1789142399999,""pagcor_game_type"":""sports_betting""}}}","结算时间+体育PAGCOR分类；数据形状、筛选及适用金额/分页断言成立；空结果不证明源表完整性
query: http eq 200
query: body.status eq true
query: body.data type ""object""
query: body.data.d type ""array""
query: body.data.t type ""integer""
query: body.data.s type ""integer""
query: body.data.a.subtotal type ""object""
query: body.data.a.total type ""object""
query: body.data.d nonempty ""非空""
verify: checks.page_count eq true
verify: checks.page_limit eq true
verify: checks.total_count eq true
verify: checks.payout_sign eq true
verify: checks.subtotal_bet_amount eq true
verify: checks.subtotal_valid_bet_amount eq true
verify: checks.subtotal_grand_inc eq true
verify: checks.subtotal_ggr eq true
verify: checks.subtotal_order_count eq true
verify: checks.settle_time_range eq true
verify: checks.sports_only eq true",可执行
