用例编号,类型,模块/接口,用例名称,前置条件,参数/步骤,预期结果,级别,验收点
ISOP-2032-C01,API,ISOP-2032,基础返利与VIP无关,同类型两会员不同VIP，有效投注1000，返利1%，无限上限，门槛0,批次结算并查奖金/报表,均实派10；输赢正负不影响返利；按有效投注而非总投注或亏损计算,高,AC-01
ISOP-2032-C02,API,ISOP-2032,各类型独立门槛,各规则门槛100、率1%、无封顶；99.99/100/100.01/200，另有Slots60+Live60及门槛0；依赖：Q-05仅其他精度；不足0.01不返已确认,按各类型与规则结算,99.99和100不派；100.01超过门槛，按100.01全额计提再按契约舍入；200返2而非1；60+60不能跨类型凑门槛；0不设门槛；其他资格满足且无封顶时，计算返利0.005不返、0.01返0.01,高,AC-01
ISOP-2032-C03,API,ISOP-2032,规则封顶与0不限,同一规则两游戏多笔合计理论返利15、上限10；另一规则上限0,结算一个会员一日，再换会员和日期,同规则当日最多10，不按每注重置；0不限；不同规则/会员/日不共用封顶,高,AC-01
ISOP-2032-C04,API,ISOP-2032,命中优先级与停用,类型1%、指定游戏2%、未配置类型；另有停用覆盖规则；依赖：需停用样本,分别下受控样本并结算,指定游戏只算2%一次，其他游戏走类型，未设不返；停用后回落类型规则；类型未配置则不返,高,AC-02
ISOP-2032-C05,FLOW,ISOP-2032,七类与多选规则配置,有配置权限，专用草稿规则；依赖：Q-05数值范围；Q-11方法/读回；Q-13活动映射,在Step2逐类填率/上限/独立门槛/倍数/状态；多选游戏、新增删除覆盖；范围明确后再尝试非法值,七类固定且不可重复新增类型（Lark§2）；独立门槛正确读回；多选不丢游戏；非法值按契约拒绝，不污染其他规则,中,AC-02
ISOP-2032-C06,FLOW,ISOP-2032,配置权限隔离,无活动编辑权限账号,访问配置和伪造保存请求,无权限不能变更活动，原配置不变；只读权限与写权限区分,高,AC-02
ISOP-2032-C07,API,ISOP-2032,三类型分账和打码,三类各单规则实派10/20/70，倍数1/2/3,派发并查账变和流水,总奖金100；账变与流水各3笔，类型一一对应；打码要求10+40+210=260,高,AC-04
ISOP-2032-C08,API,ISOP-2032,东八区日界与04点正常派发,东八区前一日已完成注单，覆盖日界两侧；独立金额预期；依赖：Q-03已确认；需本轮样本及批次完成证据,在东八区T+1 04:00批次前后只读核对注单、返利、奖金余额及流水,按前一日已完成注单自动派发；金额与有效规则一致；区分调度时间和实际完成时间,高,AC-03
ISOP-2032-C09,API,ISOP-2032,派发前配置变更正常生效,专用规则及已完成注单；派发前修改配置并读回，冻结新配置预期；依赖：Q-03已确认；配置写入契约及专用数据仍需齐备,等待正常派发批次，核对返利金额和打码要求,使用派发前已生效的新配置计算，不沿用下注时旧配置；本轮不主动触发重试、并发或失败恢复,高,AC-03
ISOP-2032-C10,API,ISOP-2032,自动入奖与永久存在,会员离线，批次有返利；一笔未达打码的历史奖金,查询派发前后及超过1月后账面,无需点击领取就进奖金余额；未打完码奖金不因离线/通知过期作废,高,AC-03
ISOP-2032-C11,FLOW,ISOP-2032,后台文案与登录通知,本轮会员上一次登录后有已完成投注，返利已在次日东八区04:00正常派发；后台有自定义文案；依赖：Q-04/Q-07已确认；需真实通知接口及本轮样本,次日04:00后登录，核对弹窗文案及出现次数,弹窗仅通知，无领取动作；默认文案Congratulations! You received Cashback Bonus!，有后台配置时按配置展示；上线弹一次，无未读状态,中,AC-05
ISOP-2032-C12,FLOW,ISOP-2032,会员日行与Drawer,同会员一天三类/两日，含同类型多规则及达上限样本；依赖：Q-01已确认；需真实明细样本,分别点击明细按钮和整行打开Drawer,每会员每日一行；两入口同一Drawer，摘要账号/手机/VIP/日期/结算时间/总实派正确；明细类型及已封顶标示正确；按返利优先级展示，单独游戏率高于类型率,高,AC-06
