执行用例编号,总用例编号,用例名称,接口/流程,前置条件,数据集,输入变量,请求/步骤,预期/断言,就绪情况
2027-FLOW-001,"ISOP-2027-C06,ISOP-2027-C07",文字编辑核准,KYC复核,本轮独立KYC会员；B编辑，A复核；kyc-review写入范围,固定组合,{},"prepare [A] kyc_fixture {}
payload [A] kyc_edit_payload {""params"":{""first_name"":""CodexPlan"",""current_address"":""Manila QA Plan""}}
edit [B] POST /admin/kyc/edit {""body"":""${edit}""}
pending [A] kyc_snapshot {}
review [A] POST /admin/kyc/review {""body"":{""id"":""${pending.pending.0.id}"",""review_status"":2,""reason"":""""}}
after [A] kyc_snapshot {}
verify [A] kyc_verify {""params"":{""before"":""${pending}"",""after"":""${after}"",""changes"":{""first_name"":""CodexPlan"",""current_address"":""Manila QA Plan""}}}","决定与资料一致，审计追加
edit: http eq 200
edit: body.status eq true
pending: snapshot.formal eq ""${baseline.formal}""
pending: snapshot.pending count 1
pending: snapshot.processed count 0
pending: snapshot.audit append_only ""${baseline.audit}""
review: http eq 200
review: body.status eq true
after: snapshot.pending count 0
after: snapshot.processed count 1
after: snapshot.processed.0.id eq ""${pending.pending.0.id}""
after: snapshot.processed.0.state eq 2
verify: checks.formal eq true
verify: checks.audit_append eq true",可执行
2027-FLOW-002,"ISOP-2027-C06,ISOP-2027-C07",文字三图编辑驳回,KYC复核,本轮独立KYC会员；B编辑，A复核；kyc-review写入范围,固定组合,{},"prepare [A] kyc_fixture {}
upload-face [client] POST /member/oss/upload {""upload"":{""size"":256}}
upload-idPhoto [client] POST /member/oss/upload {""upload"":{""size"":256}}
upload-selfieWithIDPhotoPath [client] POST /member/oss/upload {""upload"":{""size"":256}}
payload [A] kyc_edit_payload {""params"":{""first_name"":""CodexPlan"",""current_address"":""Manila QA Plan"",""attachments"":{""face"":""${image0}"",""idPhoto"":""${image1}"",""selfieWithIDPhotoPath"":""${image2}""}}}
edit [B] POST /admin/kyc/edit {""body"":""${edit}""}
pending [A] kyc_snapshot {}
review [A] POST /admin/kyc/review {""body"":{""id"":""${pending.pending.0.id}"",""review_status"":3,""reason"":""QA isolated rejection""}}
after [A] kyc_snapshot {}
verify [A] kyc_verify {""params"":{""before"":""${pending}"",""after"":""${after}"",""changes"":{}}}","决定与资料一致，审计追加
upload-face: http eq 200
upload-face: body.status eq true
upload-face: body.data.object_key type ""string""
upload-face: body.data.object_key nonempty ""非空""
upload-idPhoto: http eq 200
upload-idPhoto: body.status eq true
upload-idPhoto: body.data.object_key type ""string""
upload-idPhoto: body.data.object_key nonempty ""非空""
upload-selfieWithIDPhotoPath: http eq 200
upload-selfieWithIDPhotoPath: body.status eq true
upload-selfieWithIDPhotoPath: body.data.object_key type ""string""
upload-selfieWithIDPhotoPath: body.data.object_key nonempty ""非空""
edit: http eq 200
edit: body.status eq true
pending: snapshot.formal eq ""${baseline.formal}""
pending: snapshot.pending count 1
pending: snapshot.processed count 0
pending: snapshot.audit append_only ""${baseline.audit}""
review: http eq 200
review: body.status eq true
after: snapshot.pending count 0
after: snapshot.processed count 1
after: snapshot.processed.0.id eq ""${pending.pending.0.id}""
after: snapshot.processed.0.state eq 3
after: snapshot.processed.0.reason eq ""QA isolated rejection""
verify: checks.formal eq true
verify: checks.audit_append eq true",可执行
2027-API-001,"ISOP-2027-C02,ISOP-2027-C05,ISOP-2027-C08",重复编辑,/admin/kyc/edit,本轮独立KYC会员；B编辑，A复核；kyc-review写入范围,固定组合,{},"prepare [A] kyc_fixture {}
payload [A] kyc_edit_payload {""params"":{""first_name"":""CodexPlan"",""current_address"":""Manila QA Plan""}}
edit [B] POST /admin/kyc/edit {""body"":""${edit}""}
pending [A] kyc_snapshot {}
duplicate [A] POST /admin/kyc/edit {""body"":""${edit}""}
after [A] kyc_snapshot {}","拒绝；资料、申请、审计不变
edit: http eq 200
edit: body.status eq true
pending: snapshot.formal eq ""${baseline.formal}""
pending: snapshot.pending count 1
pending: snapshot.processed count 0
pending: snapshot.audit append_only ""${baseline.audit}""
duplicate: http eq 200
duplicate: body.status eq false
after: snapshot eq ""${pending}""",可执行
2027-API-002,"ISOP-2027-C02,ISOP-2027-C05,ISOP-2027-C08",空原因驳回,/admin/kyc/review,本轮独立KYC会员；B编辑，A复核；kyc-review写入范围,固定组合,{},"prepare [A] kyc_fixture {}
payload [A] kyc_edit_payload {""params"":{""first_name"":""CodexPlan"",""current_address"":""Manila QA Plan""}}
edit [B] POST /admin/kyc/edit {""body"":""${edit}""}
pending [A] kyc_snapshot {}
empty-reason [A] POST /admin/kyc/review {""body"":{""id"":""${pending.pending.0.id}"",""review_status"":3,""reason"":""""}}
after [A] kyc_snapshot {}","拒绝；申请仍待复核
edit: http eq 200
edit: body.status eq true
pending: snapshot.formal eq ""${baseline.formal}""
pending: snapshot.pending count 1
pending: snapshot.processed count 0
pending: snapshot.audit append_only ""${baseline.audit}""
empty-reason: http eq 200
empty-reason: body.status eq false
after: snapshot eq ""${pending}""",可执行
2027-API-003,"ISOP-2027-C02,ISOP-2027-C05,ISOP-2027-C08",无实际变更编辑,/admin/kyc/edit,本轮独立KYC会员；B编辑，A复核；kyc-review写入范围,固定组合,{},"prepare [A] kyc_fixture {}
payload [A] kyc_edit_payload {}
no-change [B] POST /admin/kyc/edit {""body"":""${edit}""}
after [A] kyc_snapshot {}","拒绝；不新增申请
no-change: http eq 200
no-change: body.status eq false
after: snapshot eq ""${baseline}""",可执行
2027-API-004,ISOP-2027-C09,本人复核 decision=2,/admin/kyc/review,本轮独立KYC会员；B编辑，A复核；kyc-review写入范围,固定组合,{},"prepare [A] kyc_fixture {}
payload [A] kyc_edit_payload {""params"":{""first_name"":""CodexPlan"",""current_address"":""Manila QA Plan""}}
edit [B] POST /admin/kyc/edit {""body"":""${edit}""}
pending [A] kyc_snapshot {}
self-review [B] POST /admin/kyc/review {""body"":{""id"":""${pending.pending.0.id}"",""review_status"":2,""reason"":""QA self rejection""}}
after [A] kyc_snapshot {}","拒绝；无副作用
edit: http eq 200
edit: body.status eq true
pending: snapshot.formal eq ""${baseline.formal}""
pending: snapshot.pending count 1
pending: snapshot.processed count 0
pending: snapshot.audit append_only ""${baseline.audit}""
self-review: http eq 200
self-review: body.status eq false
after: snapshot eq ""${pending}""",可执行
2027-API-005,ISOP-2027-C11,approved后再次提交2,/admin/kyc/review,本轮已处理申请,固定组合,{},"prepare [A] kyc_fixture {}
payload [A] kyc_edit_payload {""params"":{""first_name"":""CodexPlan"",""current_address"":""Manila QA Plan""}}
edit [B] POST /admin/kyc/edit {""body"":""${edit}""}
pending [A] kyc_snapshot {}
review [A] POST /admin/kyc/review {""body"":{""id"":""${pending.pending.0.id}"",""review_status"":2,""reason"":""""}}
after [A] kyc_snapshot {}
verify [A] kyc_verify {""params"":{""before"":""${pending}"",""after"":""${after}"",""changes"":{""first_name"":""CodexPlan"",""current_address"":""Manila QA Plan""}}}
repeat [A] POST /admin/kyc/review {""body"":{""id"":""${after.processed.0.id}"",""review_status"":2,""reason"":""QA repeat""}}
repeat-after [A] kyc_snapshot {}","拒绝；无副作用
edit: http eq 200
edit: body.status eq true
pending: snapshot.formal eq ""${baseline.formal}""
pending: snapshot.pending count 1
pending: snapshot.processed count 0
pending: snapshot.audit append_only ""${baseline.audit}""
review: http eq 200
review: body.status eq true
after: snapshot.pending count 0
after: snapshot.processed count 1
after: snapshot.processed.0.id eq ""${pending.pending.0.id}""
after: snapshot.processed.0.state eq 2
verify: checks.formal eq true
verify: checks.audit_append eq true
repeat: http eq 200
repeat: body.status eq false
repeat-after: snapshot eq ""${after}""",可执行
2027-API-006,ISOP-2027-C11,rejected后再次提交2,/admin/kyc/review,本轮已处理申请,固定组合,{},"prepare [A] kyc_fixture {}
payload [A] kyc_edit_payload {""params"":{""first_name"":""CodexPlan"",""current_address"":""Manila QA Plan""}}
edit [B] POST /admin/kyc/edit {""body"":""${edit}""}
pending [A] kyc_snapshot {}
review [A] POST /admin/kyc/review {""body"":{""id"":""${pending.pending.0.id}"",""review_status"":3,""reason"":""QA isolated rejection""}}
after [A] kyc_snapshot {}
verify [A] kyc_verify {""params"":{""before"":""${pending}"",""after"":""${after}"",""changes"":{}}}
repeat [A] POST /admin/kyc/review {""body"":{""id"":""${after.processed.0.id}"",""review_status"":2,""reason"":""QA repeat""}}
repeat-after [A] kyc_snapshot {}","拒绝；无副作用
edit: http eq 200
edit: body.status eq true
pending: snapshot.formal eq ""${baseline.formal}""
pending: snapshot.pending count 1
pending: snapshot.processed count 0
pending: snapshot.audit append_only ""${baseline.audit}""
review: http eq 200
review: body.status eq true
after: snapshot.pending count 0
after: snapshot.processed count 1
after: snapshot.processed.0.id eq ""${pending.pending.0.id}""
after: snapshot.processed.0.state eq 3
after: snapshot.processed.0.reason eq ""QA isolated rejection""
verify: checks.formal eq true
verify: checks.audit_append eq true
repeat: http eq 200
repeat: body.status eq false
repeat-after: snapshot eq ""${after}""",可执行
2027-API-007,ISOP-2027-C09,夹带他人身份自审2,/admin/kyc/review,本人创建的待复核申请,固定组合,{},"prepare [A] kyc_fixture {}
payload [A] kyc_edit_payload {""params"":{""first_name"":""CodexPlan"",""current_address"":""Manila QA Plan""}}
edit [B] POST /admin/kyc/edit {""body"":""${edit}""}
pending [A] kyc_snapshot {}
negative [B] POST /admin/kyc/review {""body"":{""id"":""${pending.pending.0.id}"",""review_status"":2,""reason"":""QA self-review"",""reviewer_id"":""${other.id}"",""updated_name"":""${other.name}""}}
after [A] kyc_snapshot {}","按真实登录者拒绝；无副作用
edit: http eq 200
edit: body.status eq true
pending: snapshot.formal eq ""${baseline.formal}""
pending: snapshot.pending count 1
pending: snapshot.processed count 0
pending: snapshot.audit append_only ""${baseline.audit}""
negative: http eq 200
negative: body.status eq false
after: snapshot eq ""${pending}""",可执行
2027-API-008,ISOP-2027-C09,本人复核 decision=3,/admin/kyc/review,本人创建的待复核申请,固定组合,{},"prepare [A] kyc_fixture {}
payload [A] kyc_edit_payload {""params"":{""first_name"":""CodexPlan"",""current_address"":""Manila QA Plan""}}
edit [B] POST /admin/kyc/edit {""body"":""${edit}""}
pending [A] kyc_snapshot {}
negative [B] POST /admin/kyc/review {""body"":{""id"":""${pending.pending.0.id}"",""review_status"":3,""reason"":""QA self-review""}}
after [A] kyc_snapshot {}","拒绝；无副作用
edit: http eq 200
edit: body.status eq true
pending: snapshot.formal eq ""${baseline.formal}""
pending: snapshot.pending count 1
pending: snapshot.processed count 0
pending: snapshot.audit append_only ""${baseline.audit}""
negative: http eq 200
negative: body.status eq false
after: snapshot eq ""${pending}""",可执行
